Collection,Record,/eml:eml/@packageId,/eml:eml/@scope,/eml:eml/@system,/eml:eml/@xsi:schemaLocation,/eml:eml/access,/eml:eml/access/@authSystem,/eml:eml/access/@order,/eml:eml/access/@scope,/eml:eml/access/@system,/eml:eml/access/allow/permission,/eml:eml/access/allow/principal,/eml:eml/additionalMetadata/metadata/stmml:unitList/@xsi:schemaLocation,/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@abbreviation,/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@constantToSI,/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@id,/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@multiplierToSI,/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@name,/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@parentSI,/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/@unitType,/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unit/stmml:description,/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@id,/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/@name,/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@name,/eml:eml/additionalMetadata/metadata/stmml:unitList/stmml:unitType/stmml:dimension/@power,/eml:eml/dataset/@scope,/eml:eml/dataset/abstract,/eml:eml/dataset/abstract/section/para,/eml:eml/dataset/contact,/eml:eml/dataset/contact/address/administrativeArea,/eml:eml/dataset/contact/address/city,/eml:eml/dataset/contact/address/country,/eml:eml/dataset/contact/address/deliveryPoint,/eml:eml/dataset/contact/address/postalCode,/eml:eml/dataset/contact/electronicMailAddress,/eml:eml/dataset/contact/onlineUrl,/eml:eml/dataset/contact/organizationName,/eml:eml/dataset/contact/phone,/eml:eml/dataset/contact/phone/@phonetype,/eml:eml/dataset/contact/positionName,/eml:eml/dataset/creator,/eml:eml/dataset/creator/address/@scope,/eml:eml/dataset/creator/address/administrativeArea,/eml:eml/dataset/creator/address/city,/eml:eml/dataset/creator/address/country,/eml:eml/dataset/creator/address/deliveryPoint,/eml:eml/dataset/creator/address/postalCode,/eml:eml/dataset/creator/electronicMailAddress,/eml:eml/dataset/creator/individualName/givenName,/eml:eml/dataset/creator/individualName/surName,/eml:eml/dataset/creator/onlineUrl,/eml:eml/dataset/creator/organizationName,/eml:eml/dataset/creator/positionName,/eml:eml/dataset/dataTable/attributeList,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/numericDomain/numberType,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/interval/unit/customUnit,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/nominal/nonNumericDomain/textDomain/definition,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ordinal/nonNumericDomain/textDomain/definition,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/customUnit,/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/code,/eml:eml/dataset/dataTable/attributeList/attribute/missingValueCode/codeExplanation,/eml:eml/dataset/dataTable/attributeList/attribute/storageType,/eml:eml/dataset/dataTable/attributeList/attribute/storageType/@typeSystem,/eml:eml/dataset/dataTable/entityDescription,/eml:eml/dataset/dataTable/entityName,/eml:eml/dataset/dataTable/physical/characterEncoding,/eml:eml/dataset/dataTable/physical/dataFormat,/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numFooterLines,/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numHeaderLines,/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/recordDelimiter,/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/fieldDelimiter,/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/literalCharacter,/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/quoteCharacter,/eml:eml/dataset/dataTable/physical/distribution/online/url,/eml:eml/dataset/dataTable/physical/objectName,/eml:eml/dataset/distribution,/eml:eml/dataset/distribution/online/url,/eml:eml/dataset/distribution/online/url/@function,/eml:eml/dataset/intellectualRights,/eml:eml/dataset/intellectualRights/section/para,/eml:eml/dataset/intellectualRights/section/title,/eml:eml/dataset/keywordSet/keyword,/eml:eml/dataset/keywordSet/keywordThesaurus,/eml:eml/dataset/methods,/eml:eml/dataset/methods/methodStep/description/para,/eml:eml/dataset/methods/methodStep/description/section/para,/eml:eml/dataset/methods/methodStep/description/section/title,/eml:eml/dataset/methods/methodStep/protocol/@scope,/eml:eml/dataset/methods/methodStep/protocol/creator/@scope,/eml:eml/dataset/methods/methodStep/protocol/creator/individualName/surName,/eml:eml/dataset/methods/methodStep/protocol/distribution/@scope,/eml:eml/dataset/methods/methodStep/protocol/distribution/online/url,/eml:eml/dataset/methods/methodStep/protocol/distribution/online/url/@function,/eml:eml/dataset/methods/methodStep/protocol/title,/eml:eml/dataset/pubDate,/eml:eml/dataset/publisher,/eml:eml/dataset/publisher/address/@scope,/eml:eml/dataset/publisher/address/administrativeArea,/eml:eml/dataset/publisher/address/city,/eml:eml/dataset/publisher/address/country,/eml:eml/dataset/publisher/address/deliveryPoint,/eml:eml/dataset/publisher/address/postalCode,/eml:eml/dataset/publisher/electronicMailAddress,/eml:eml/dataset/publisher/onlineUrl,/eml:eml/dataset/publisher/organizationName,/eml:eml/dataset/title
2015,44.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,3.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,9.0,11.0,11.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,45.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,5.0,2.0,5.0,2.0,3.0,5.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,15.0,17.0,17.0,1.0,2.0,1.0,6.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,46.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,1.0,9.0,3.0,9.0,4.0,5.0,9.0,5.0,5.0,4.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,9.0,12.0,12.0,1.0,1.0,1.0,3.0,0.0,2.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,47.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,1.0,5.0,1.0,4.0,5.0,4.0,4.0,5.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,8.0,9.0,9.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,48.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,1.0,5.0,1.0,4.0,5.0,4.0,4.0,5.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,9.0,10.0,10.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,49.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,35.0,35.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,50.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,1.0,7.0,3.0,7.0,3.0,5.0,7.0,5.0,5.0,5.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,11.0,12.0,13.0,1.0,2.0,1.0,4.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,12.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,69.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,9.0,10.0,10.0,1.0,2.0,1.0,4.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,70.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,7.0,7.0,7.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,86.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,8.0,8.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,87.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,5.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,88.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,7.0,8.0,8.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,89.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,6.0,10.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,90.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,9.0,9.0,9.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,91.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,6.0,6.0,6.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,92.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,5.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,93.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,7.0,16.0,16.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,94.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0,3.0,5.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,9.0,9.0,9.0,1.0,1.0,1.0,4.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,95.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,10.0,1.0,12.0,5.0,12.0,5.0,6.0,12.0,6.0,6.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,25.0,26.0,26.0,1.0,2.0,2.0,12.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,96.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,4.0,14.0,14.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,97.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0,3.0,5.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,12.0,12.0,12.0,1.0,1.0,1.0,5.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,98.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0,3.0,5.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,12.0,12.0,12.0,1.0,1.0,1.0,5.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
2015,99.1.xml,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,10.0,1.0,12.0,5.0,12.0,5.0,6.0,12.0,6.0,6.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,25.0,26.0,26.0,1.0,2.0,2.0,12.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
