XPath,2719.2.xml,2720.2.xml,2720.3.xml,2720.8.xml,2721.2.xml,2721.6.xml,2722.2.xml,2722.5.xml,2722.6.xml,2723.5.xml,2724.2.xml,2724.3.xml,2724.5.xml,2725.2.xml,2725.5.xml,2725.6.xml,2726.2.xml,2726.5.xml,2726.6.xml,2727.2.xml,2727.3.xml,2727.6.xml,2727.7.xml,2728.2.xml,2728.3.xml,2728.7.xml,2730.4.xml,2730.7.xml,2731.2.xml,2732.6.xml,2732.7.xml,2733.2.xml,2733.7.xml,2739.3.xml,2742.6.xml,2742.7.xml,2745.4.xml,3112.6.xml,3114.5.xml,3114.7.xml,3116.6.xml,3117.4.xml,3119.4.xml,3120.2.xml,3120.5.xml,3126.7.xml,3128.2.xml,3128.5.xml,3129.4.xml,3137.7.xml,3140.7.xml,3141.4.xml,3141.7.xml,3142.4.xml,3142.7.xml,3145.13.xml,3145.14.xml,3145.4.xml,3146.2.xml,3147.2.xml,3147.5.xml,3148.6.xml,3161.2.xml,3162.1.xml,3162.2.xml,3164.1.xml,3164.3.xml,3167.6.xml,3168.8.xml,3169.7.xml,3173.1.xml,3173.2.xml,3176.6.xml,3176.7.xml,3178.3.xml,3178.7.xml,3179.6.xml,3182.4.xml,3182.5.xml,3184.7.xml,3185.4.xml,3185.7.xml,3186.6.xml,3187.4.xml,3189.10.xml,3189.5.xml,3189.7.xml,3190.7.xml,3192.6.xml,3192.7.xml,3192.9.xml,3212.4.xml,3213.8.xml,3215.4.xml,3216.5.xml,3217.5.xml,3222.11.xml,3222.14.xml,3222.18.xml,3222.21.xml,3222.22.xml,3222.23.xml,3222.7.xml,3222.8.xml,3230.4.xml,3234.6.xml,3237.3.xml,3237.4.xml,3238.5.xml,3239.3.xml,3239.4.xml,3241.4.xml,3252.2.xml,3252.3.xml,3256.4.xml,3980.11.xml,3980.12.xml,3982.1.xml,3982.3.xml,3982.7.xml,3986.4.xml,3990.1.xml,3990.3.xml,3990.4.xml,3990.5.xml,3995.3.xml,3995.4.xml,3999.4.xml,4002.5.xml,4004.3.xml,4019.10.xml,4019.11.xml,4019.4.xml,4019.5.xml,4019.7.xml,4020.17.xml,4020.18.xml,4020.20.xml,4021.12.xml,4021.13.xml,4021.14.xml,4021.16.xml,4021.6.xml,4021.7.xml,4021.8.xml,4022.11.xml,4022.12.xml,4022.13.xml,4022.15.xml,4022.6.xml,4022.7.xml,4022.8.xml,4022.9.xml,4027.10.xml,4027.11.xml,4027.2.xml,4027.3.xml,4027.7.xml,4027.8.xml,4027.9.xml,4031.2.xml,4031.3.xml,4031.4.xml,4031.5.xml,4031.8.xml,4032.7.xml,4033.4.xml,4034.2.xml,4035.6.xml,4041.10.xml,4041.5.xml,4044.5.xml,4047.9.xml,4052.4.xml,4052.7.xml,4054.6.xml,4055.10.xml,4055.5.xml,4057.7.xml,4059.2.xml,4062.4.xml,4062.7.xml,4066.4.xml,4333.1.xml
/eml:eml/dataset/project/abstract/para,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
/eml:eml/dataset/project/abstract/section/para,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/project/funding,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
/eml:eml/dataset/project/personnel/@scope,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
/eml:eml/dataset/project/personnel/address/@scope,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/project/personnel/address/administrativeArea,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
/eml:eml/dataset/project/personnel/address/city,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
/eml:eml/dataset/project/personnel/address/country,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
/eml:eml/dataset/project/personnel/address/deliveryPoint,1.0,1.0,1.0,5.0,1.0,5.0,1.0,8.0,5.0,8.0,1.0,1.0,8.0,1.0,8.0,5.0,0.0,0.0,0.0,1.0,1.0,8.0,5.0,1.0,1.0,5.0,0.0,5.0,1.0,8.0,5.0,1.0,5.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,1.0,8.0,5.0,0.0,0.0,0.0,5.0,8.0,0.0,8.0,0.0,5.0,8.0,5.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,8.0,5.0,5.0,5.0,0.0,0.0,8.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,8.0,0.0,5.0,0.0,8.0,5.0,8.0,5.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,8.0,5.0,1.0,1.0,0.0,8.0,8.0,5.0,8.0,8.0,5.0,5.0,0.0,0.0,0.0,8.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,8.0,5.0,5.0,1.0,1.0,0.0,8.0,5.0,0.0,0.0,1.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0,8.0,8.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0
/eml:eml/dataset/project/personnel/address/postalCode,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,0.0,4.0,1.0,4.0,4.0,1.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,1.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0
/eml:eml/dataset/project/personnel/electronicMailAddress,1.0,1.0,1.0,9.0,1.0,9.0,1.0,12.0,9.0,12.0,1.0,1.0,12.0,1.0,12.0,9.0,0.0,0.0,0.0,1.0,1.0,12.0,9.0,1.0,1.0,9.0,0.0,9.0,1.0,12.0,9.0,1.0,9.0,0.0,12.0,12.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,1.0,12.0,9.0,0.0,0.0,0.0,9.0,12.0,0.0,12.0,0.0,9.0,12.0,9.0,0.0,1.0,1.0,12.0,12.0,0.0,0.0,0.0,0.0,12.0,9.0,9.0,9.0,0.0,0.0,12.0,9.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,9.0,12.0,0.0,9.0,0.0,12.0,9.0,12.0,9.0,9.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,12.0,9.0,9.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,12.0,9.0,1.0,1.0,0.0,12.0,12.0,9.0,12.0,12.0,9.0,9.0,0.0,0.0,0.0,12.0,12.0,9.0,9.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,1.0,12.0,9.0,9.0,1.0,1.0,0.0,12.0,9.0,0.0,0.0,1.0,9.0,9.0,0.0,9.0,9.0,0.0,9.0,12.0,12.0,0.0,12.0,1.0,0.0,9.0,0.0,0.0
/eml:eml/dataset/project/personnel/individualName/givenName,2.0,2.0,2.0,9.0,2.0,9.0,2.0,11.0,9.0,11.0,2.0,2.0,11.0,2.0,11.0,9.0,0.0,0.0,0.0,2.0,2.0,11.0,9.0,2.0,2.0,9.0,0.0,9.0,2.0,11.0,9.0,2.0,9.0,0.0,11.0,11.0,0.0,11.0,0.0,11.0,11.0,0.0,0.0,2.0,11.0,9.0,0.0,0.0,0.0,9.0,11.0,0.0,11.0,0.0,9.0,11.0,10.0,0.0,2.0,2.0,11.0,11.0,0.0,0.0,0.0,0.0,11.0,9.0,9.0,9.0,0.0,0.0,11.0,9.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,9.0,11.0,0.0,9.0,0.0,11.0,9.0,11.0,9.0,9.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,11.0,9.0,9.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,2.0,0.0,11.0,11.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,11.0,10.0,2.0,2.0,0.0,11.0,11.0,9.0,11.0,11.0,9.0,10.0,0.0,0.0,0.0,11.0,11.0,9.0,10.0,0.0,0.0,0.0,0.0,9.0,9.0,2.0,2.0,11.0,9.0,9.0,2.0,2.0,0.0,11.0,9.0,0.0,0.0,2.0,9.0,9.0,0.0,9.0,9.0,0.0,9.0,11.0,11.0,0.0,11.0,2.0,0.0,9.0,0.0,0.0
/eml:eml/dataset/project/personnel/individualName/surName,1.0,1.0,1.0,6.0,1.0,6.0,1.0,8.0,6.0,8.0,1.0,1.0,8.0,1.0,8.0,6.0,0.0,0.0,0.0,1.0,1.0,8.0,6.0,1.0,1.0,6.0,0.0,6.0,1.0,8.0,6.0,1.0,6.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,8.0,0.0,0.0,1.0,8.0,6.0,0.0,0.0,0.0,6.0,8.0,0.0,8.0,0.0,6.0,8.0,6.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,8.0,6.0,6.0,6.0,0.0,0.0,8.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,6.0,8.0,0.0,6.0,0.0,8.0,6.0,8.0,6.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,8.0,6.0,1.0,1.0,0.0,8.0,8.0,6.0,8.0,8.0,6.0,6.0,0.0,0.0,0.0,8.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,8.0,6.0,6.0,1.0,1.0,0.0,8.0,6.0,0.0,0.0,1.0,6.0,6.0,0.0,6.0,6.0,0.0,6.0,8.0,8.0,0.0,8.0,1.0,0.0,6.0,0.0,0.0
/eml:eml/dataset/project/personnel/onlineUrl,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
/eml:eml/dataset/project/personnel/phone,1.0,1.0,1.0,6.0,1.0,6.0,1.0,10.0,6.0,10.0,1.0,1.0,10.0,1.0,10.0,6.0,0.0,0.0,0.0,1.0,1.0,10.0,6.0,1.0,1.0,6.0,0.0,6.0,1.0,10.0,6.0,1.0,6.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,1.0,10.0,6.0,0.0,0.0,0.0,6.0,10.0,0.0,10.0,0.0,6.0,10.0,6.0,0.0,1.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,6.0,0.0,0.0,10.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,6.0,10.0,0.0,6.0,0.0,10.0,6.0,10.0,6.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,6.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,10.0,6.0,1.0,1.0,0.0,10.0,10.0,6.0,10.0,10.0,6.0,6.0,0.0,0.0,0.0,10.0,10.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,1.0,10.0,6.0,6.0,1.0,1.0,0.0,10.0,6.0,0.0,0.0,1.0,6.0,6.0,0.0,6.0,6.0,0.0,6.0,10.0,10.0,0.0,10.0,1.0,0.0,6.0,0.0,0.0
/eml:eml/dataset/project/personnel/phone/@phonetype,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
